time_rel_TR,network_1_mean,network_1_sem,network_2_mean,network_2_sem,network_3_mean,network_3_sem,network_4_mean,network_4_sem,network_5_mean,network_5_sem,network_6_mean,network_6_sem,network_7_mean,network_7_sem
-5,0.00470043868387553,0.02041219404111673,0.007632655289286688,0.02023610123873987,0.033324173154517536,0.020447839020457794,0.026090261965757294,0.020132974765727854,0.00652698286515312,0.02059994246662066,0.029123547308778846,0.020626234019504586,0.028510610575523367,0.020619998637435105
-4,-0.005862605865800848,0.02043271677302976,0.010762290553652694,0.020433457980300468,0.0358688678711209,0.020684408085235365,0.022257387334474136,0.020337193655487074,0.0004038652277810247,0.02075592456024193,0.02183136145631099,0.02088748906674029,0.020417970231537255,0.020871268450979405
-3,-0.009469100335533533,0.02063329685950678,0.02110137010841758,0.020662723015690495,0.03841875644621088,0.021089035882272036,0.027763908055491168,0.02057929372708852,0.016315989962581944,0.02106687899005257,0.019374068349928938,0.0211478805767539,0.021578863347003287,0.02099543636516466
-2,-0.011875007447564886,0.020707678993895782,0.025544061585815465,0.020506779962320167,0.03480624506419392,0.021151092139035765,0.03166815963403997,0.020612068544330255,0.021632995866599506,0.02102555685478933,0.016500836940045442,0.021159408346271398,0.016648560548771413,0.020818475171969192
-1,-0.019915865647932893,0.020827209086103707,0.012187095866521712,0.020501490599626665,0.01756758799273069,0.02100858083903789,0.023725744482734186,0.020604660546632354,0.03328935929200103,0.021068758529998205,0.013260648066110096,0.021208829106426196,0.017018313098498578,0.020846717454206565
0,-0.028733622084122938,0.020878735900580675,-0.009628465036725532,0.0206409335598302,0.00027426326504111114,0.02095603108678756,0.014705382677239122,0.02085726215847979,0.04671644690152976,0.02106894755218534,0.011842664737582817,0.0212035124535467,0.018230107504128307,0.020868411442694523
1,-0.02108856961464208,0.020795276558824755,-0.014176618310159973,0.020748116214840517,-0.004613596858202569,0.021001500111619296,0.019900526959600665,0.02098926006951024,0.05627471760770314,0.021121290045902893,0.016935094240173303,0.021072772846345133,0.025720720528655566,0.02086748311942291
2,-0.010209379317419129,0.020747302244611094,-0.016429425620069462,0.02072973867820832,-0.001757313956348788,0.021056842599238183,0.01920680007532387,0.02116071605297424,0.058799608461283424,0.02112435163227233,0.023881492263426812,0.021016197136319765,0.03341995262651766,0.020757198409683843
3,-0.01244899457529547,0.020593472165206128,-0.025789267873762737,0.020450268999351158,-0.009775438694303968,0.020840361811174386,0.00893762091567659,0.021209916543089423,0.053363413181542356,0.021087167659957964,0.021222539304855056,0.021025781788676364,0.03656762522619783,0.0206631113120639
4,-0.016698595436889417,0.020503126744738545,-0.034627782179735576,0.020477694360988945,-0.021654750811030164,0.02079566962483042,-0.00595121943347334,0.021141221433045105,0.049501123631588824,0.02102059244595735,0.013820727579153523,0.02094072722568293,0.034775524368120155,0.020650824048728336
5,-0.012988228990199205,0.020501566969816202,-0.02849049191966624,0.02068043995345252,-0.0167227080304334,0.02105750559753376,-0.005957943069870243,0.021261351589862695,0.03904886915783255,0.021244450446343287,0.016956264029324507,0.02090855784461103,0.03225154336021982,0.020745819705527784
6,-0.005244950106424614,0.020536333408640296,-0.008834763523605453,0.020625796153505325,-0.007503670166559826,0.021107491784658924,0.00303504026898655,0.021062291689506456,0.0207720047887629,0.021451210951514314,0.01968990822307362,0.02081353347729099,0.026859829670115885,0.02080339940977308
7,-0.0012464503042832638,0.020838986089220506,0.0011674955380109441,0.02094443735781497,-0.014932502503776464,0.0211640349692382,0.0019496076046585228,0.021132738399361858,0.011552816189984496,0.02155076413267935,0.0073715135641422395,0.020934215771926702,0.013295152539112835,0.020980065401443156
8,-0.0018599158594082062,0.021002650034146957,0.003378872210173478,0.020952473681153487,-0.033463512632349625,0.021132272006643433,-0.0006345597173170486,0.021043839841849047,0.0016861009949655438,0.021489012882960384,-0.013165521632881424,0.021004049682022005,-0.006086182017092769,0.021188288402951398
9,-0.002102411016000076,0.020960089850166303,0.006782975504721593,0.021035652671423488,-0.03211463390520342,0.021135679593261528,0.00053289480835598,0.020908259030750314,-0.014960800457388663,0.02155149612260774,-0.023085614839642356,0.021143920873089243,-0.019809131925543066,0.021359853581642024
10,0.005401267219518108,0.021189594402366892,0.0043779684824006284,0.021333002588527928,-0.017130551088795368,0.021223117309902832,0.0037387640627931608,0.02120223973677487,-0.02365376684256161,0.02156875617210734,-0.02281758702420435,0.021365683708218165,-0.02761906418686023,0.021501693870893367
11,0.021689135681259797,0.021336689513639498,0.008213862474247694,0.021518553173995505,-0.005219725289087177,0.021299929063636064,0.010492054613521347,0.021360523390433744,-0.016487084446877416,0.02144880877200087,-0.018645253818957624,0.021361886391291576,-0.027607607496624977,0.02141615144883059
12,0.034774380953020934,0.021317298717662556,0.010411197609602728,0.021560216843723615,0.005549720172143152,0.02132523560849665,0.01032874625172715,0.021483166690099142,-0.007842846258523054,0.021190097615125157,-0.013914602866749493,0.02146015652172148,-0.025297456481377458,0.02133868046580304
13,0.03617361207006629,0.021253033497721834,0.007812755744574754,0.02159721421474786,0.019240734594804954,0.021374112221473184,0.0013369971897216834,0.021463485068925692,-0.00673659191087644,0.02103337351480767,-0.01224608205855966,0.02142247744471971,-0.02240834471432806,0.02112502830043899
14,0.02424857791082982,0.021182720747151502,0.007185057361243133,0.02159384641669468,0.024290691720329455,0.021364932837273566,-0.005033761507438901,0.02139152185525217,-0.004629013422577061,0.021050827036878588,-0.01384503015595401,0.021550450124074336,-0.01756720775408552,0.02099191339741036
