time_rel_TR,network_1_mean,network_1_sem,network_2_mean,network_2_sem,network_3_mean,network_3_sem,network_4_mean,network_4_sem,network_5_mean,network_5_sem,network_6_mean,network_6_sem,network_7_mean,network_7_sem
-5,-0.09982998629094993,0.022190858983348615,-0.07663811541597752,0.02184062028368772,-0.11965486284405272,0.022132555308308686,-0.09723689412954845,0.021630189187690795,-0.06411385542373017,0.021721537197792733,-0.12019921592354994,0.022047769468779236,-0.1101835117771064,0.02182653524975703
-4,-0.09536820472042794,0.02245292027254211,-0.07736269049202833,0.02231287405277157,-0.11434740746884979,0.022344771230357132,-0.09380797363768663,0.02198342985074808,-0.05125398930909757,0.02200615714133748,-0.10583194268583279,0.022120839347624356,-0.09015390683789437,0.022101817273615987
-3,-0.08744778621738027,0.02240928602632345,-0.08097623723076589,0.022345988148312006,-0.11049049285662145,0.02230675928774451,-0.09648154445827295,0.022065323225065624,-0.0533025422063284,0.02187721620126602,-0.09037356243896708,0.022082112433580034,-0.07877622006279102,0.022199610595882102
-2,-0.06349506387378098,0.022499745971784977,-0.06967783619361655,0.022767348900696014,-0.09916539606893804,0.02245090368758634,-0.08954092372069801,0.022361758403205614,-0.05029102646989609,0.022096706465652975,-0.07846066093370041,0.022252143060531873,-0.06606619822644853,0.022549911940048042
-1,-0.03952629008758941,0.022499493973092,-0.04438258082632028,0.02300638270083301,-0.07488548519768776,0.022841641369829798,-0.07658230312361067,0.022761266496905058,-0.05233890334018232,0.022660769838144138,-0.06762418781782197,0.022567834027191713,-0.061105456614352856,0.022973606681683936
0,-0.0172913752020657,0.022626718423660853,-0.016977745427004837,0.023031465814322766,-0.04900827043941489,0.022984738539862166,-0.06253986658960181,0.022632477398745375,-0.06921469914803165,0.022758441112778055,-0.058499221301993476,0.02253675524340811,-0.059681379181654885,0.022955357983870828
1,-0.010063091161659501,0.022738558867866902,-0.0074869338281105605,0.02304940436444058,-0.03933353945661612,0.02301168418741123,-0.0625712010698678,0.02263650442796424,-0.07731280055517482,0.02275861699581839,-0.058497431363591354,0.022624919703441788,-0.06285663325958463,0.02288612181497692
2,-0.011263620817042694,0.022647874725449983,-0.009148928780154315,0.022983078919005123,-0.04612904577821108,0.02292991619764937,-0.06505800550534926,0.02250491784854617,-0.08254470701713139,0.02266482127990721,-0.06498723912855278,0.022741115756963214,-0.07081123472114755,0.02296743308271311
3,-0.015767688574773085,0.022512179115938967,-0.007214948608785551,0.02294461488856676,-0.042175059222588615,0.022903262360108582,-0.054099617079394986,0.022296095060643225,-0.07900044723262876,0.022774513190499654,-0.05955341358304053,0.022684110037878277,-0.07086126608129568,0.022841134438032002
4,-0.025695173439513268,0.02230590920614174,-0.011946564308190336,0.022538140530197683,-0.029006729448516486,0.022659152961237758,-0.043310344264970504,0.02220062332295007,-0.07664099381095625,0.02268985788007475,-0.04341413051758767,0.02263581518878904,-0.06415006637273302,0.022525396795198275
5,-0.027456698405792145,0.022044169436667465,-0.01902074509705095,0.022042560419269618,-0.012622567198400787,0.022188173431023254,-0.03169249343693645,0.021802903725628063,-0.06742682227306943,0.022109960210863488,-0.021751912722421607,0.02243750293721653,-0.04701570515894557,0.022128311562230503
6,-0.02668085328745483,0.02188243042502736,-0.030720667946621438,0.021936516155564297,0.005610258134556057,0.02195224296085812,-0.02965272094188551,0.021872053640227537,-0.04885149463533413,0.021921859019375347,-0.0015564785618114745,0.02252350015717909,-0.022013260945850606,0.02211434816343957
7,-0.020159646852380832,0.02173262999944079,-0.025895311046850073,0.021765686876286553,0.03207978040848621,0.021885663546720148,-0.019566805623235133,0.021805109672681785,-0.024825606455829388,0.021850266101739978,0.015811780635184597,0.022561387085080698,0.0053193335038688545,0.022048248810077845
8,-0.01803916505987326,0.021927239559724757,-0.015408076374013547,0.021629952925871006,0.060974247930761095,0.02178825925358056,-0.007987714533741754,0.02159406290630089,-0.01428870631314689,0.021882545601363376,0.03259131954880552,0.02231767378041127,0.02659339473970135,0.021655249423291764
9,-0.008841451559068405,0.02223133455744161,-0.006052527754071127,0.021739503028969237,0.07192908509941595,0.02204271141425817,0.00017188434669999458,0.021861545079257316,0.003282379784066929,0.021758276050199556,0.03748540414473357,0.022432324458915763,0.03344623199814539,0.021783591013123965
10,-0.010085890663491873,0.02236032501932361,-0.0036801315690059198,0.021763217178048907,0.05849786734304286,0.02225727065200235,-0.0033019918265536894,0.02178017871822959,0.009876243372805325,0.021892083951777448,0.03111391592031847,0.02249504475544958,0.02784304956756202,0.021984013109112736
11,-0.027520360905089955,0.02248429692577935,-0.017674820706437992,0.021882699829643797,0.03648147976675813,0.022382036340674264,-0.018716990728587766,0.021851033175480133,-0.00924509826512606,0.022049827656919943,0.01977781702688541,0.022710751810319296,0.01226806883736295,0.02231950731122794
12,-0.03529918991197594,0.022822653451653362,-0.016089280602893923,0.022277155971105196,0.01679814563007942,0.022646479627520946,-0.01526689060635116,0.022105142769765693,-0.008776301593466727,0.022485725445153,0.013211390301421072,0.02285919811138394,0.0058181436941428955,0.022655843037895317
13,-0.032593272113862766,0.022965193800914455,-0.008653466263277097,0.02231513169213497,0.0006968700576247307,0.022654431505475178,-7.755347533531758e-05,0.022283130656207486,-0.002404850926440685,0.02260836358505029,0.010850866438441369,0.022934169438174938,-0.0021231658347307986,0.023014251213584375
14,-0.016060197930330398,0.02301320812268382,0.010056566941694512,0.022400581666389124,-0.0011653109952458583,0.02257419100233484,0.022969050547037174,0.02246118553506326,0.004239797372523947,0.0226080432248415,0.019881406189220047,0.02281521382873422,-0.00025207132122975404,0.02323846409448405
